EstateCode,EstateName,DivisionCode,DivisionName,BlockCode,BlockName,MaturedArea,ImmatureArea,MaturityAge,FirstHarvestingDate,PlantingYear,PlantAge,CloneName
EST-TBS,Tanah Besih,DIV-001,Divisi I,001/91,Block 001/91,34.79,5.21,35,1996-01-01,1991,35,PC 10
EST-TBS,Tanah Besih,DIV-001,Divisi I,002/87,Block 002/87,23.58,16.42,39,1993-01-01,1987,39,IRCA 109
EST-TBS,Tanah Besih,DIV-001,Divisi I,003/24,Block 003/24,24.38,15.62,2,2029-01-01,2024,2,GT 1
EST-TBS,Tanah Besih,DIV-001,Divisi I,004/18,Block 004/18,25.22,14.78,8,2025-01-01,2018,8,PR 107
EST-TBS,Tanah Besih,DIV-001,Divisi I,005/93,Block 005/93,23.73,16.27,33,1999-01-01,1993,33,IRCA 1007
EST-TBS,Tanah Besih,DIV-001,Divisi I,006/96,Block 006/96,22.41,17.59,30,2001-01-01,1996,30,RRIM 2020
EST-TBS,Tanah Besih,DIV-001,Divisi I,007/95,Block 007/95,29.03,10.97,31,2000-01-01,1995,31,PB 340
EST-TBS,Tanah Besih,DIV-001,Divisi I,008/11,Block 008/11,26.91,13.09,15,2016-01-01,2011,15,IRCA 101
EST-TBS,Tanah Besih,DIV-001,Divisi I,009/19,Block 009/19,34.11,5.89,7,2024-01-01,2019,7,IRR 118
EST-TBS,Tanah Besih,DIV-001,Divisi I,010/98,Block 010/98,22.74,17.26,28,2003-01-01,1998,28,IRR 207
EST-TBS,Tanah Besih,DIV-002,Divisi II,001/06,Block 001/06,28.42,11.58,20,2013-01-01,2006,20,PR 300
EST-TBS,Tanah Besih,DIV-002,Divisi II,002/25,Block 002/25,21.01,18.99,1,2032-01-01,2025,1,RRIM 911
EST-TBS,Tanah Besih,DIV-002,Divisi II,003/10,Block 003/10,32.5,7.5,16,2017-01-01,2010,16,PB 235
EST-TBS,Tanah Besih,DIV-002,Divisi II,004/07,Block 004/07,23.43,16.57,19,2014-01-01,2007,19,IRCA 733
EST-TBS,Tanah Besih,DIV-002,Divisi II,005/23,Block 005/23,21.66,18.34,3,2028-01-01,2023,3,PB 340
EST-TBS,Tanah Besih,DIV-002,Divisi II,006/26,Block 006/26,25.42,14.58,0,2031-01-01,2026,0,PB 260
EST-TBS,Tanah Besih,DIV-002,Divisi II,007/03,Block 007/03,28.08,11.92,23,2008-01-01,2003,23,IRR 118
EST-TBS,Tanah Besih,DIV-002,Divisi II,008/16,Block 008/16,22.77,17.23,10,2023-01-01,2016,10,IRR 220
EST-TBS,Tanah Besih,DIV-002,Divisi II,009/12,Block 009/12,20.61,19.39,14,2018-01-01,2012,14,PB 330
EST-TBS,Tanah Besih,DIV-002,Divisi II,010/21,Block 010/21,27.58,12.42,5,2027-01-01,2021,5,IRCA 130
EST-APM,Aek Pamingke,DIV-APM-01,Divisi I,001/15,Block 001/15,25.36,14.64,11,2021-01-01,2015,11,IRCA 427
EST-APM,Aek Pamingke,DIV-APM-01,Divisi I,002/97,Block 002/97,32.46,7.54,29,2002-01-01,1997,29,IRR 425
EST-APM,Aek Pamingke,DIV-APM-01,Divisi I,003/89,Block 003/89,29.17,10.83,37,1994-01-01,1989,37,PB 217
EST-APM,Aek Pamingke,DIV-APM-01,Divisi I,004/13,Block 004/13,35.99,4.01,13,2019-01-01,2013,13,RRIM 901
EST-APM,Aek Pamingke,DIV-APM-01,Divisi I,005/08,Block 005/08,30.64,9.36,18,2015-01-01,2008,18,RRIM 908
EST-APM,Aek Pamingke,DIV-APM-01,Divisi I,006/22,Block 006/22,32.67,7.33,4,2028-01-01,2022,4,IRR 230
EST-APM,Aek Pamingke,DIV-APM-01,Divisi I,007/05,Block 007/05,34.35,5.65,21,2011-01-01,2005,21,IRCA 101
EST-APM,Aek Pamingke,DIV-APM-01,Divisi I,008/09,Block 008/09,32.86,7.14,17,2014-01-01,2009,17,RRIM 600
EST-APM,Aek Pamingke,DIV-APM-01,Divisi I,009/04,Block 009/04,35.47,4.53,22,2009-01-01,2004,22,IRCA 317
EST-APM,Aek Pamingke,DIV-APM-01,Divisi I,010/01,Block 010/01,20.48,19.52,25,2008-01-01,2001,25,IRR 221
EST-APM,Aek Pamingke,DIV-APM-02,Divisi II,001/02,Block 001/02,21.39,18.61,24,2009-01-01,2002,24,IRCA 19
EST-APM,Aek Pamingke,DIV-APM-02,Divisi II,002/20,Block 002/20,20.99,19.01,6,2027-01-01,2020,6,RRIM 901
EST-APM,Aek Pamingke,DIV-APM-02,Divisi II,003/99,Block 003/99,31.5,8.5,27,2004-01-01,1999,27,RRIM 911
EST-APM,Aek Pamingke,DIV-APM-02,Divisi II,004/92,Block 004/92,28.02,11.98,34,1997-01-01,1992,34,RRIM 921
EST-APM,Aek Pamingke,DIV-APM-02,Divisi II,005/17,Block 005/17,31.47,8.53,9,2024-01-01,2017,9,RRIM 901
EST-APM,Aek Pamingke,DIV-APM-02,Divisi II,006/88,Block 006/88,34.34,5.66,38,1994-01-01,1988,38,IRCA 807
EST-APM,Aek Pamingke,DIV-APM-02,Divisi II,007/94,Block 007/94,30.68,9.32,32,1999-01-01,1994,32,IRR 428
EST-APM,Aek Pamingke,DIV-APM-02,Divisi II,008/00,Block 008/00,25.68,14.32,26,2006-01-01,2000,26,IRCA 825
EST-APM,Aek Pamingke,DIV-APM-02,Divisi II,009/14,Block 009/14,30.46,9.54,12,2021-01-01,2014,12,RRIM 921
EST-APM,Aek Pamingke,DIV-APM-02,Divisi II,010/90,Block 010/90,33.81,6.19,36,1997-01-01,1990,36,IRCA 317
