budwood_code,plot_name,number_of_plants,year_of_planting,clone_name
2021/BWG/001,IA,425,2019,IRCA331
2021/BWG/001,IB,408,2019,IRCA331
2021/BWG/001,IIA,256,2019,IRCA41
2021/BWG/001,IIB,306,2019,IRR112
2021/BWG/001,IIIA,507,2018,PB217
2021/BWG/001,IIIB,285,2019,IRCA41
2021/BWG/001,IVA,211,2017,PB217
2021/BWG/001,IVB,582,2018,PB217
2021/BWG/001,IXA,9,2017,PB254
2021/BWG/001,IXB,42,2017,IRCA19
2021/BWG/001,VA,86,2017,IRCA317
2021/BWG/001,VB,235,2017,PB217
2021/BWG/001,VIA,540,2016,PB260
2021/BWG/001,VIB,93,2017,IRCA331
2021/BWG/001,VIIA,92,2017,PB235
2021/BWG/001,VIIB,543,2016,PB260
2021/BWG/001,VIIIA,94,2017,IRCA19
2021/BWG/001,VIIIB,41,2017,PB235
2021/BWG/001,XA,23,2017,LBT94
2021/BWG/001,XB,42,2017,PB254
2021/BWG/001,XIA,5,2017,IRCA109
2021/BWG/001,XIIA,16,2018,RRIM703
2021/BWG/001,XIIB,3,2011,PB330
2021/BWG/001,XIIIA,52,2018,PR107
2021/BWG/001,XIIIB,16,2019,RRIM703
2021/BWG/001,XIVA,24,2018,PB217
2021/BWG/001,XIVB,20,2019,PR107
2021/BWG/001,XIXA,4,2018,IRCA733
2021/BWG/001,XIXB,18,2017,IRR221
2021/BWG/001,XVA,4,2019,PB217
2021/BWG/001,XVB,20,2019,IRCA1007
2021/BWG/001,XVIA,5,2018,IRCA317
2021/BWG/001,XVIB,20,2019,IRCA986
2021/BWG/001,XVIIA,5,2019,IRCA825
2021/BWG/001,XVIIB,20,2019,IRCA807
2021/BWG/001,XVIIIA,7,2018,PB260
2021/BWG/001,XVIIIB,20,2019,IRCA733
2021/BWG/001,XXA,21,2017,RRIM600
2021/BWG/001,XXB,20,2017,IRR220
2021/BWG/001,XXIA,443,2016,PB330
2021/BWG/001,XXIB,18,2017,RRIC100
2021/BWG/001,XXIIA,171,2018,PB330
2021/BWG/001,XXIIB,20,2016,BPM1
2021/BWG/001,XXIIIA,745,2017,PB330
2021/BWG/001,XXIIIB,20,2016,BPM24
2021/BWG/001,XXIVA,120,2018,PB330
2021/BWG/001,XXIVB,20,2016,GT1
2021/BWG/001,XXIXB,20,2016,IRCA317
2021/BWG/001,XXVA,393,2019,IRCA41
2021/BWG/001,XXVB,20,2016,GYT577
2021/BWG/001,XXVIB,20,2016,IRCA804
2021/BWG/001,XXVIIB,20,2016,IRCA427
2021/BWG/001,XXVIIIB,20,2016,IRCA331
2021/BWG/001,XXXB,20,2016,IRCA230
2021/BWG/001,XXXIB,20,2016,IRCA130
2021/BWG/001,XXXIIB,20,2016,IRCA111
2021/BWG/001,XXXIIIB,20,2016,IRCA101
2021/BWG/001,XXXIVB,20,2016,IRCA41
2021/BWG/001,XXXIXB,20,2015,PB260
2021/BWG/001,XXXVB,19,2016,IRCA19
2021/BWG/001,XXXVIB,19,2016,IRCA18
2021/BWG/001,XXXVIIB,20,2016,PM10
2021/BWG/001,XXXVIIIB,20,2015,PB330
2021/BWG/001,XXXXB,20,2016,PB340
2021/BWG/001,XXXXIB,20,2016,PB254
2021/BWG/001,XXXXIIB,20,2015,PB217
2021/BWG/001,XXXXIIIB,19,2016,PR300
2021/BWG/001,XXXXIVB,20,2016,PC10
2021/BWG/001,XXXXIXB,19,2015,RRIM911
2021/BWG/001,XXXXVB,20,2016,RRIM600
2021/BWG/001,XXXXVIB,20,2016,RRIM901
2021/BWG/001,XXXXVIIB,20,2016,RRIM712
2021/BWG/001,XXXXVIIIB,20,2016,RRIM908
2021/BWG/001,XXXXXB,20,2016,RRIM921
2021/BWG/001,XXXXXIB,20,2016,RRIM2020
2021/BWG/001,XXXXXIIB,27,2016,IRR5
2021/BWG/001,XXXXXIIIB,73,2016,IRR428
2021/BWG/001,XXXXXIVB,20,2016,IRR112
2021/BWG/001,XXXXXIXB,52,2016,IRR434
2021/BWG/001,XXXXXVB,20,2016,IRR118
2021/BWG/001,XXXXXVIB,92,2016,IRR429
2021/BWG/001,XXXXXVIIB,60,2016,IRR440
2021/BWG/001,XXXXXVIIIB,40,2016,IRR425
2021/BWG/001,XXXXXXB,20,2016,IRR104
2021/BWG/001,XXXXXXIB,20,2016,IRR230
2021/BWG/001,XXXXXXIIB,20,2016,IRR205
2021/BWG/001,XXXXXXIIIB,20,2016,IRR206
2021/BWG/001,XXXXXXIVB,20,2016,IRR207
2021/BWG/001,XXXXXXIXB,17,2017,IRCA1007
2021/BWG/001,XXXXXXVB,19,2016,IRR208
2021/BWG/001,XXXXXXVIB,20,2017,IRCA733
2021/BWG/001,XXXXXXVIIB,20,2017,IRCA807
2021/BWG/001,XXXXXXVIIIB,20,2017,IRCA986
2021/BWG/001,XXXXXXXB,20,2017,PR107
2021/BWG/001,XXXXXXXIB,40,2018,IRCA986
2021/BWG/001,XXXXXXXIIB,17,2018,RRIM703
2021/BWG/001,XXXXXXXVIIIB,120,2018,GT1
